0	Adrenal Gland-female	Adrenal Gland-male	Bile Duct-female	Bile Duct-male	Bladder-female	Bladder-male	Blood-female	Blood-male	Bone Marrow-female	Bone Marrow-male	Brain-female	Brain-male	Breast-female	Breast-male	Cervix-female	Colorectal-female	Colorectal-male	Esophagus-female	Esophagus-male	Eye-female	Eye-male	Head and Neck-female	Head and Neck-male	Kidney-female	Kidney-male	Liver-female	Liver-male	Lung-female	Lung-male	Lymph Nodes-female	Lymph Nodes-male	Ovary-female	Pancreas-female	Pancreas-male	Pleura-female	Pleura-male	Prostate-male	Skin-female	Skin-male	Soft Tissue-female	Soft Tissue-male	Stomach-female	Stomach-male	Testis-male	Thymus-female	Thymus-male	Thyroid-female	Thyroid-male	Uterus-female
TNRC6B	0.5061816178042425	0.6114731498544528	0.6913779481547715	0.3002220345586322	0.5439021609092711	0.5351961668039074	0.4866544213333239	0.4958857817858421	0.4003435546691162	0.3309113113116382	0.3409855047448185	0.4706833910438303	0.2503249177773918	0.7681217250751509	0.0907360951985008	0.6592065051212534	0.8477765325626382	0.4932965008053242	0.18541955812109026	0.825149735976309	0.6580528393190457	0.2636501035985912	0.1861985899649877	0.0012059501919938374	0.30412688480028804	0.20017949293704254	0.4331943488846999	0.6093551010826767	0.4021456574445785	0.3442841936778516	0.411539650335352	0.1835040107499016	0.4200702123733528	0.5142445528962905	0.3351378121220447	0.3181244082963332	0.20745755888551407	0.1557622484645819	0.15406909178993308	0.07145157662069311	0.1466607867058199	0.36909143731351296	0.44344489526534	0.21735659136596866	0.5341702937393893	0.5111148867943911	0.5239404802647699	0.4983401853077146	0.5563522863969138
ATXN1L	0.49354609760462204	0.4510780238675677	0.40203277056811904	0.48654624666974894	0.219034011934846	0.3119562999172326	0.3033482453815916	0.4576365707227307	0.1016652089919905	0.203723351449604	0.20764601369074748	0.3815567966125431	0.2846490219106681	0.5581800886807917	0.21050202075053728	0.36592493878164667	0.3062632149383896	0.5873373896249758	0.3096713514574586	0.6094017647935591	0.4520395647455042	0.37832861216176855	0.2885515470322215	0.35997679745664163	0.2797076116868767	0.15848326503261675	0.3407190837249771	0.3240373263675015	0.22322845266105604	0.3487984618841539	0.464451692276571	0.2940459003746752	0.4918399794235905	0.5960923948332741	0.3722430774228776	0.2446050610252261	0.35678628833793863	0.2388211622447027	0.1654628940342081	0.2852388317633032	0.2861175413422801	0.26175628478770063	0.29709481071924176	0.2936789791729184	0.10917524647240301	0.1335459657399519	0.5182342186174617	0.5910115834000582	0.3503531928588256
NUFIP2	0.3000275167437506	0.479640718954376	0.4180091838744393	0.3058822364978765	0.379877157661291	0.3246310353930712	0.36391796050544223	0.6027477743660294	0.3905243865317349	0.42228547961511376	0.11483591469482278	0.3299812453077109	0.1619738614200499	0.5164255116926922	0.11855635464383744	0.6614200080500555	0.7651415869155102	0.2788900450675528	0.018722112151427297	0.7029654115008857	0.5505872836676826	0.3504823972363734	0.19522314222677015	0.3610639661258248	0.5158334731434523	0.22816458211056145	0.4079689360874981	0.5060953613837064	0.3874240948023612	0.32464056945721265	0.578800377848657	0.16776428140823574	0.26605158579469523	0.3792699862992411	0.5156035120770328	0.07098126973714353	0.2472517598486357	0.29685652671031576	0.2133914576602868	0.12083994531827658	0.27848088764168755	0.13987604629663705	0.06105817549634199	0.17129290426699326	0.1489116447865309	0.11766368283527162	0.5553914248739646	0.5437246114643799	0.4788640406433196
UBN2	0.3011058695226272	0.2930359823821284	0.4076187944107258	0.195140839439452	0.2391915676277772	0.4094609173478943	0.2744320404033624	0.406145602163731	0.4040379407604241	0.3212023662860245	0.2044167906411445	0.3063761655138265	0.2908073909356663	0.4272043046845934	0.1601068488688235	0.6293669950146771	0.7685926368662674	0.4272483520775285	0.03928184303482018	0.8146044210619009	0.7203796218369907	0.21076312128625024	0.16421748057782345	0.08225924580391254	0.2865045430604461	0.2467206736367445	0.38891199520565145	0.5786742044970064	0.4196902676831209	0.42435874668017104	0.3969820745082526	0.08522470003996697	0.09273919021644736	0.2147425487556552	0.38632889797990333	0.26222093308841044	0.24985779745888834	0.3502769922920013	0.13062725165136846	0.10431273368181623	0.0765333767216506	0.22207312496129672	0.3158491184074546	0.008108447239549607	0.2268407812501685	0.13357280330272636	0.3740952585226239	0.32452665940094	0.5153287244687577
PURA	0.23856970536995803	0.2588304283522854	0.7831566828670938	0.5447253390197428	0.5412593804274846	0.5615657608763929	0.13214671212337886	0.029932809833592738	0.09715713387103886	0.01568224651097895	0.4292206334186493	0.4956135786549578	0.4780409769242218	0.6771296730188697	0.2245927633396592	0.7833351032379541	0.8385602316756291	0.06898664205963657	0.13038937525445474	0.7905019077153155	0.7287126118372593	0.4571902368989753	0.4775551817175992	0.5240744417836379	0.6676007015824837	0.3632518403229954	0.4101155263163925	0.7071081479562457	0.6090115769327009	0.4520779440066744	0.4938513016713834	0.1881955353377273	0.4620384462143637	0.5904336491785491	0.07097977601672485	0.1700658098347231	0.4758381262588506	0.3569091037162034	0.3762847024804666	0.21369479083776025	0.2410055751749052	0.3495047666907425	0.326758460569114	0.29884871072833424	0.004374166513244399	0.07867710895861549	0.5930298350589017	0.4923972890450064	0.5625328551074237
TNRC6A	0.2827337810449571	0.11555924898836925	0.6707694583950116	0.5331833986253824	0.34403203365488816	0.10771804485738863	0.4226354774255424	0.4428794227807732	0.2355772354454004	0.14379533629296345	0.07789709612879459	0.22879986662771984	0.30347206285507544	0.19969926791256232	0.13818957428459194	0.5121537517633599	0.6338989225448747	0.5724672876659755	0.12893651719600213	0.8462384062593092	0.7419628567124886	0.2498016690384016	0.2263776661127975	0.04718380155517349	0.08686446016671244	0.13907651561172632	0.2290941517127734	0.3765097507219354	0.2724307494040493	0.3680719607387605	0.4821226293342067	0.10787691271783688	0.3352703415493741	0.555034529930045	0.33862148824613464	0.27480580575898195	0.2709011053753008	0.2927667027200688	0.19618969289735805	0.1304472050601277	0.06549208462478391	0.18241844421192255	0.2879705735798271	0.01272342348409569	0.18340494686431347	0.13492269915440233	0.30926761458344915	0.2105790790757434	0.3735337693096855
TAOK1	0.5295739104017523	0.5701686692756112	0.5818753266533563	0.5810337301316386	0.5589953185841181	0.4282672071668119	0.5316079416105364	0.6220237303942517	0.5269143261250268	0.4878672188145161	0.37938174598972624	0.5146258805237656	0.2811047351941406	0.6424916577270356	0.16153779312224478	0.7530117873802058	0.8423579702049695	0.3705104270785721	0.1643518602758608	0.7101094494110736	0.6299615563531208	0.4148892693181838	0.3624982772675761	0.3037608688962184	0.5087114737394229	0.3036779208533088	0.4641482314374271	0.5841278091593579	0.4829687397297948	0.358663681458205	0.3629204817210049	0.18566826485578256	0.4046963750469267	0.5728891328756163	0.3979513595972843	0.2042337792952156	0.3616010520124531	0.3640267440394971	0.35559591933740803	0.17519826391722004	0.27515585425266825	0.34080165300656723	0.3508539730798521	0.28801032872773563	0.02881351321870925	0.0058940022212819465	0.5778174484411976	0.6070044527242524	0.5651424708774179
G3BP1	0.25984961326739164	0.1401985140375222	0.5259721007015951	0.3165811225573409	0.37922024041771396	0.3394091297149044	0.5788330663154467	0.5264169282553276	0.2379756138256062	0.3276953720824419	0.010261731293256743	0.07756620744520079	0.1867213298194941	0.6887588419570849	0.2451764266537775	0.5741845093636688	0.6577162332602026	0.02538399119917959	0.03622412164952346	0.7441674933436973	0.5245943449412526	0.384773016002494	0.3286440846553883	0.3176817477362111	0.5380493078036772	0.19878151260509475	0.3164464643636335	0.3752354004137625	0.2084433443675592	0.4219408579174369	0.5360504568595676	0.1623811794025555	0.4368129914076011	0.4939129668963834	0.1290972986772458	0.08808006139618282	0.15909491282319152	0.2341286774335761	0.14864583569950865	0.08328977297901541	0.08322175664967202	0.2723286490122596	0.115596896135734	0.15617549085699609	0.542391966617281	0.585010768248766	0.5815965770047379	0.4931486871570361	0.41485934466812097
MTF1	0.3112562694089806	0.27951766678268564	0.4845748921007069	0.2983512104781185	0.2372939163746992	0.20985951399867453	0.02288192091167293	0.07625271904150352	0.06996256705973276	0.12226159934137665	0.009941764389297602	0.2169972687136597	0.2622569903324861	0.8734003842080815	0.21828922365966888	0.4796113900935751	0.5122729645811743	0.18076700889228905	0.0016994671998946766	0.7066332622467841	0.5890248586866771	0.2384626598786292	0.2874035215578951	0.4485192237358463	0.5514783370430436	0.09824646406057473	0.26616176711078204	0.1011962173324107	0.25208683725019515	0.3305768072452563	0.32965488157844586	0.275168703562618	0.4677627913421676	0.30040996582377993	0.26443472584818245	0.09110593928180218	0.2605128798715965	0.27112124251560604	0.3177813714493903	0.04530780430537303	0.018703918428976302	0.28699872979870106	0.2789899339083323	0.19320896628001932	0.02584926160605066	0.029536765221969505	0.5601509098662478	0.5912102726958325	0.3436298012962661
RNF38	0.3799703312246708	0.27662096897342553	0.5906700646659342	0.703240953609636	0.3101527871935389	0.2198817498973788	0.4903593356279203	0.5114372893987604	0.428422516996766	0.4986606960874176	0.3196821843006295	0.3990526617368782	0.3682043766785657	0.5410727501619674	0.17321840447126965	0.5553229710293681	0.6162421007902659	0.3942782110052692	0.07149432526100731	0.6757670559777186	0.5454065095062124	0.3312017975205677	0.2413408376108412	0.2973439321737972	0.4604017507547245	0.33651756464582694	0.38547136353965794	0.454744547170411	0.21243792083903598	0.30544621496869084	0.2342128230992499	0.14471339911782655	0.5174816714347867	0.34094856302093685	0.5030297859458714	0.22420773629941085	0.5656766468776027	0.33481913657240303	0.29313366579963984	0.07156858392931921	0.040690423499369736	0.2471142283202063	0.2716627018779219	0.048546448344497166	0.17254161837534984	0.07599853894362703	0.6018708945791503	0.6210251726683237	0.4162430884039619
